"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","995","Validar tiempo de inicio de sesión - standard_user en menos de 2 segundo","chromium","2026-03-12","passed","2026-03-12","","checkout-flow.spec.ts","",""
"","597","performanceGlitchUserLoginUnderTwoSeconds()","","2026-03-14","broken","2026-03-14","","Validar tiempo de inicio de sesión - performance_glitch_user en menos de 2 segundos [FALLO CONOCIDO]","com.saucedemo.tests.LoginPerformanceGlitchUserTest","performanceGlitchUserLoginUnderTwoSeconds"
"","210","standardUserLoginUnderTwoSeconds()","","2026-03-14","broken","2026-03-14","","Validar tiempo de inicio de sesión - standard_user en menos de 2 segundos","com.saucedemo.tests.LoginPerformanceTest","standardUserLoginUnderTwoSeconds"
"","984","Validar descripción de producto - El título en detalle coincide con el de la lista","chromium","2026-03-12","passed","2026-03-12","","checkout-flow.spec.ts","",""
"","1181","Validar descripción de producto (problem_user) - El título en detalle coincide con el de la lista","chromium","2026-03-12","broken","2026-03-12","","checkout-flow.spec.ts","",""
"","230","productDetailTitleMatchesListProblemUser()","","2026-03-14","broken","2026-03-14","","Validar descripción de producto (problem_user) - El título en detalle coincide con el de la lista [FALLO CONOCIDO]","com.saucedemo.tests.ProductDescriptionProblemUserTest","productDetailTitleMatchesListProblemUser"
"","1185","Validar estado del carrito vacío - No agregar productos","chromium","2026-03-12","passed","2026-03-12","","checkout-flow.spec.ts","",""
"","867","Validar login inválido - Usuario incorrecto","chromium","2026-03-12","passed","2026-03-12","","checkout-flow.spec.ts","",""
"","4478","invalidCredentialsShowError()","","2026-03-14","broken","2026-03-14","","Validar login inválido - Usuario incorrecto","com.saucedemo.tests.InvalidLoginTest","invalidCredentialsShowError"
"","792","Validar usuario bloqueado - locked_out_user no puede iniciar sesión","chromium","2026-03-12","passed","2026-03-12","","checkout-flow.spec.ts","",""
"","1788","Validar precios y totales - Agregar productos al carrito y completar checkout","chromium","2026-03-12","passed","2026-03-12","","checkout-flow.spec.ts","",""
"","208","cartEmptyAfterLogin()","","2026-03-14","broken","2026-03-14","","Validar estado del carrito vacío - No agregar productos","com.saucedemo.tests.CartEmptyStateTest","cartEmptyAfterLogin"
"","5590","Validar tiempo de inicio de sesión - performance_glitch_user en menos de 2 segundo","chromium","2026-03-12","broken","2026-03-12","","checkout-flow.spec.ts","",""
"","207","lockedOutUserCannotLogin()","","2026-03-14","broken","2026-03-14","","Validar usuario bloqueado - locked_out_user no puede iniciar sesión","com.saucedemo.tests.LockedOutUserTest","lockedOutUserCannotLogin"
"","223","checkoutPricesAndTotals()","","2026-03-14","broken","2026-03-14","","Validar precios y totales - Agregar productos al carrito y completar checkout","com.saucedemo.tests.CheckoutPricesAndTotalsTest","checkoutPricesAndTotals"
"","208","productDetailTitleMatchesList()","","2026-03-14","broken","2026-03-14","","Validar descripción de producto - El título en detalle coincide con el de la lista","com.saucedemo.tests.ProductDescriptionTest","productDetailTitleMatchesList"
